
Tag transitions from . 
 . ==> . : 0.10714600345610409 
 . ==> ADJ : 0.05089523536508164 
 . ==> ADP : 0.0664866059710153 
 . ==> ADV : 0.11431568840128736 
 . ==> CONJ : 0.2683809074467249 
 . ==> DET : 0.07300447383209628 
 . ==> NOUN : 0.04436815479862679 
 . ==> NUM : 0.11967191071668684 
 . ==> PHI : 0 
 . ==> PRON : 0.13860623505087769 
 . ==> PRT : 0.09068356297562774 
 . ==> VERB : 0.06190424076607387 
 . ==> X : 0.1341991341991342 

Tag transitions from ADJ 
 ADJ ==> . : 0.0569511740588893 
 ADJ ==> ADJ : 0.05691523034841915 
 ADJ ==> ADP : 0.05116532887556471 
 ADJ ==> ADV : 0.014402816550792156 
 ADJ ==> CONJ : 0.08248800817802941 
 ADJ ==> DET : 0.0035688481159547214 
 ADJ ==> NOUN : 0.19830670856952076 
 ADJ ==> NUM : 0.03926314374075568 
 ADJ ==> PHI : 0 
 ADJ ==> PRON : 0.00648639883244821 
 ADJ ==> PRT : 0.054108417982500254 
 ADJ ==> VERB : 0.00800547195622435 
 ADJ ==> X : 0.030303030303030304 

Tag transitions from ADP 
 ADP ==> . : 0.009561887981567445 
 ADP ==> ADJ : 0.1428673809438492 
 ADP ==> ADP : 0.02030172830637028 
 ADP ==> ADV : 0.039901136222194565 
 ADP ==> CONJ : 0.007155775733270426 
 ADP ==> DET : 0.48139309146906634 
 ADP ==> NOUN : 0.13577903744402267 
 ADP ==> NUM : 0.29292725561382277 
 ADP ==> PHI : 0 
 ADP ==> PRON : 0.20476750314184944 
 ADP ==> PRT : 0.06912735928123638 
 ADP ==> VERB : 0.03265116279069767 
 ADP ==> X : 0.048340548340548344 

Tag transitions from ADV 
 ADV ==> . : 0.06485277674245248 
 ADV ==> ADJ : 0.09156603480608211 
 ADV ==> ADP : 0.05511653288755647 
 ADV ==> ADV : 0.09683671473532601 
 ADV ==> CONJ : 0.02553013027181463 
 ADV ==> DET : 0.030185594698545457 
 ADV ==> NOUN : 0.006699134120584414 
 ADV ==> NUM : 0.050221863654699474 
 ADV ==> PHI : 0 
 ADV ==> PRON : 0.05511412007945839 
 ADV ==> PRT : 0.05407489355995843 
 ADV ==> VERB : 0.07396990424076608 
 ADV ==> X : 0.0036075036075036075 

Tag transitions from CONJ 
 CONJ ==> . : 0.005380679700470979 
 CONJ ==> ADJ : 0.05102662414447988 
 CONJ ==> ADP : 0.01931392730337234 
 CONJ ==> ADV : 0.061949892423407246 
 CONJ ==> CONJ : 0.0002621163272260229 
 CONJ ==> DET : 0.04212554463249622 
 CONJ ==> NOUN : 0.03372792660710268 
 CONJ ==> NUM : 0.047935995697189725 
 CONJ ==> PHI : 0 
 CONJ ==> PRON : 0.05227632059026229 
 CONJ ==> PRT : 0.03214992121760703 
 CONJ ==> VERB : 0.040793433652530776 
 CONJ ==> X : 0.015151515151515152 

Tag transitions from DET 
 DET ==> . : 0.011865957374716227 
 DET ==> ADJ : 0.3923268952831428 
 DET ==> ADP : 0.00858627025682826 
 DET ==> ADV : 0.04267501200234713 
 DET ==> CONJ : 0.0023066236795890017 
 DET ==> DET : 0.005904290645822842 
 DET ==> NOUN : 0.31150610760710995 
 DET ==> NUM : 0.0899556272690601 
 DET ==> PHI : 0 
 DET ==> PRON : 0.027526655045202093 
 DET ==> PRT : 0.009219216199000973 
 DET ==> VERB : 0.04848700410396717 
 DET ==> X : 0.13997113997113997 

Tag transitions from NOUN 
 NOUN ==> . : 0.529807203605191 
 NOUN ==> ADJ : 0.04243857574563132 
 NOUN ==> ADP : 0.4650608568310239 
 NOUN ==> ADV : 0.12930528636711178 
 NOUN ==> CONJ : 0.43110272338863986 
 NOUN ==> DET : 0.031163561257927734 
 NOUN ==> NOUN : 0.14931157868760842 
 NOUN ==> NUM : 0.14938819416431356 
 NOUN ==> PHI : 0 
 NOUN ==> PRON : 0.11067418007864759 
 NOUN ==> PRT : 0.16477253679305373 
 NOUN ==> VERB : 0.23946922024623804 
 NOUN ==> X : 0.06637806637806638 

Tag transitions from NUM 
 NUM ==> . : 0.027289668959441602 
 NUM ==> ADJ : 0.01053499122084065 
 NUM ==> ADP : 0.013470013677244657 
 NUM ==> ADV : 0.005387720265296324 
 NUM ==> CONJ : 0.014940630651883306 
 NUM ==> DET : 0.0014231602916383859 
 NUM ==> NOUN : 0.020536511369657205 
 NUM ==> NUM : 0.021715745596342612 
 NUM ==> PHI : 0 
 NUM ==> PRON : 0.0025540195402764827 
 NUM ==> PRT : 0.0026484293808039156 
 NUM ==> VERB : 0.003704514363885089 
 NUM ==> X : 0.0021645021645021645 

Tag transitions from PHI 
 PHI ==> . : 0.034554264222546 
 PHI ==> ADJ : 0.023518591512284852 
 PHI ==> ADP : 0.0486578340218007 
 PHI ==> ADV : 0.0931382136951226 
 PHI ==> CONJ : 0.07383816937957065 
 PHI ==> DET : 0.08931608025164393 
 PHI ==> NOUN : 0.029369497528650954 
 PHI ==> NUM : 0.06481107973645286 
 PHI ==> PHI : 0 
 PHI ==> PRON : 0.18561235658977582 
